Rank,Name,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2023 (€),Revenue 2020 (€),Number of employees 2023,Number of employees 2020,Founding year
56,Tecnogreen,Italy,Energy & Utilities,"2,587.2",199.5,"3,429,282","127,616",14,1,2020
57,Ticketsms,Italy,IT & Software,"2,585.1",199.4,"6,802,484","253,341",26,7,2017
58,Glow25,Germany,Ecommerce,"2,571.9",199,"82,786,067","3,098,406",85,12,2017
59,Townhouse Group Limited,UK,Health Care & Life Sciences,"2,549.9",198.1,"7,637,556","279,210",453,36,2020
60,Walr,UK,"Professional, Scientific & Technical Services","2,544.7",197.9,"13,056,503","478,246",40,2,2020
61,Nameless Festival,Italy,Leisure & Entertainment,"2,531.8",197.5,"6,267,275","238,139",7,1,2015
62,Padel Horizon & Wave in Paris,France,Leisure & Entertainment,"2,516.3",196.9,"3,039,491","116,175",26,12,2014
63,Candidate Flow,Germany,Advertising & Marketing,"2,471.3",195.2,"10,288,107","400,114",26,6,2020
64,Creation,UK,Advertising & Marketing,"2,398",192.3,"13,428,814","520,783",49,2,2017
65,Energetica Store,Italy,Energy & Utilities,"2,385",191.8,"3,484,508","140,222",2,1,2009
66,Capitole Energie,France,Management consulting,"2,382.7",191.7,"18,748,685","755,170",21,5,2017
67,Woltair,Czech Republic,Energy & Utilities,"2,370.1",191.2,"51,579,064","1,965,099",320,38,2018
68,CAMS Servizi Edili,Italy,Construction & Engineering,"2,352.4",190.5,"34,667,108","1,413,575",49,6,2018
69,Epicode,Italy,Education & Social Services,"2,318.9",189.2,"4,983,000","206,000",15,1,2020
70,Winkler Personalservice,Germany,Employment Services,"2,290.9",188.1,"11,500,000","481,000",300,20,2020
71,DAC.digital,Poland,IT & Software,"2,255.5",186.7,"7,791,742","314,711",109,26,2016
72,BSport,France,IT & Software,"2,227.1",185.5,"4,053,089","174,166",70,12,2018
73,Solidstudio,Poland,IT & Software,"2,211.9",184.9,"3,339,139","137,410",43,6,2017
74,Kaizzen,France,IT & Software,"2,205.4",184.6,"3,956,223","171,609",19,2,2019
75,Parama,Italy,Ecommerce,"2,191.6",184,"5,496,380","239,848",9,5,2020
